Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_48029	29	22	38	23	3	2	23	0	2	2	7	10	14	12	23	11	8	7	0	3	9	39	8	5	40	5	10	1	7	0	1	2	65	3	15	29
OTU_48035	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_48046	24	14	5	23	0	0	0	0	1	0	0	0	0	4	0	0	2	0	5	16	0	0	1	1	56	0	0	12	0	9	0	0	57	0	0	0
OTU_48054	17	2	2	0	0	0	3	0	0	0	1	0	1	1	2	5	3	0	2	0	0	2	1	0	10	2	18	0	4	1	1	3	8	1	6	13
OTU_48057	2	4	0	2	1	2	5	1	1	0	3	0	0	0	0	0	4	8	1	4	0	0	0	1	1	1	0	0	2	1	0	0	10	1	2	0
OTU_48060	0	0	1	1	0	1	3	0	1	0	3	0	1	0	0	0	2	1	0	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0
OTU_48061	0	0	0	1	5	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	3	23	1	0	3	3	0	5	1	0	1	0	3	0	1	11
OTU_48064	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	23	0	22	9	0	6	1	0	0
OTU_48078	0	2	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	2	0	2	2	7	0	0	0	1	0	0	0	4	1	2	1	0	3	0
OTU_48079	21	46	18	20	25	30	0	2	0	3	29	12	1	21	19	18	17	5	2	77	9	160	6	8	48	4	14	2	8	55	0	10	44	2	146	6
OTU_48132	3	0	2	3	0	0	1	0	1	0	1	3	0	2	0	1	0	2	1	4	1	6	0	0	2	0	0	1	1	1	0	0	1	0	4	3
OTU_48135	0	0	0	14	6	1	0	3	0	10	5	0	3	29	1	8	2	1	5	0	0	3	0	5	1	0	0	17	1	2	3	0	1	0	10	2
OTU_48141	0	1	0	22	4	1	0	3	0	4	4	13	0	10	2	9	0	1	5	1	6	1	0	0	108	26	35	51	2	12	14	32	20	21	14	5
OTU_48150	0	0	0	19	1	0	1	2	13	38	25	0	0	5	0	16	0	0	5	1	6	2	5	6	0	0	0	2	1	12	16	4	0	0	12	3
OTU_48160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_48161	2	3	0	1	2	1	2	0	0	0	1	1	0	0	3	0	6	3	0	2	0	4	1	0	7	1	2	0	2	0	0	0	1	2	2	0
OTU_48164	4	34	0	26	0	0	1	1	0	0	0	3	0	8	0	0	11	3	1	54	1	5	1	10	3	0	0	1	0	9	1	0	1	0	1	2
OTU_48169	0	0	0	0	1	1	0	0	0	0	2	23	0	1	0	0	0	0	1	0	1	0	0	0	20	36	92	36	29	0	16	38	18	14	1	12
OTU_48176	2	3	1	3	0	2	5	0	0	0	0	0	0	0	1	0	4	3	0	1	0	1	0	0	1	0	0	0	0	2	0	0	3	0	1	0
OTU_48178	1	0	13	0	5	0	3	1	0	1	22	140	1	1	2	0	1	0	15	1	57	36	8	2	238	167	123	347	291	11	75	316	272	16	57	88
OTU_48251	3	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0	3	1	0	2	0	1	5	0	1	0	0	1	0	0	0	0	0	0	1	0
OTU_48253	9	6	0	42	9	6	3	23	6	14	1	1	2	24	0	0	5	3	7	4	0	5	7	12	5	2	0	5	5	4	2	0	4	0	14	2
OTU_48270	16	5	12	1	12	7	3	0	0	0	1	1	0	1	0	1	0	0	10	11	0	0	21	1	6	2	0	0	4	1	6	1	18	9	1	0
OTU_48273	3	0	5	1	2	0	10	0	4	0	0	7	1	2	2	1	0	1	2	3	3	3	1	0	9	3	5	4	11	0	1	4	3	4	7	10
OTU_48278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48279	7	33	4	104	10	12	10	13	2	8	12	6	2	31	0	0	12	6	9	10	5	5	7	24	3	2	0	3	7	17	3	4	1	0	24	3
OTU_48284	0	0	0	1	3	0	0	0	1	23	1	5	2	7	1	3	0	0	3	0	14	23	0	1	4	0	8	18	0	17	4	21	0	1	0	22
OTU_48291	0	0	1	9	7	0	1	1	4	3	15	3	5	17	5	8	0	0	38	0	5	0	0	1	55	4	37	11	4	16	21	16	4	21	3	19
OTU_48309	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	2	1	0	0	12	3	9	14	2	1	6	6	13	1	0	2
OTU_48315	0	0	2	0	0	0	1	0	0	0	6	0	0	0	1	0	1	0	0	3	0	0	0	0	1	0	3	0	0	0	0	1	0	0	5	0
OTU_48317	0	0	0	0	4	1	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48321	3	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0
OTU_48322	178	100	11	15	16	10	53	55	12	24	3	0	0	2	1	2	71	4	0	0	0	0	22	13	187	21	6	47	270	54	84	3	65	1	1	0
OTU_48413	0	0	0	2	1	0	5	1	0	0	5	4	0	0	0	0	3	1	0	2	0	6	0	0	0	0	0	0	2	2	0	2	1	1	4	0
OTU_48414	2	12	0	8	19	5	5	11	1	0	3	14	15	17	0	43	2	5	10	0	1	1	11	11	50	45	35	28	41	4	13	6	7	3	13	16
OTU_48434	5	4	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	1	5	0	12	0	0	0	1	0	0
OTU_48435	0	0	1	2	4	1	6	0	3	2	0	0	0	0	0	0	0	5	3	7	0	3	0	0	3	1	1	3	1	2	4	2	0	8	0	0
OTU_48440	1	1	1	12	1	1	5	0	0	0	0	0	0	0	0	0	0	4	2	19	0	7	3	1	5	6	1	2	2	1	2	0	1	2	1	1
OTU_48442	1	9	2	27	35	5	2	6	1	2	13	15	12	34	1	33	2	16	8	27	2	7	3	7	18	4	17	13	18	18	6	7	18	1	58	60
OTU_48454	0	0	0	4	1	0	0	0	10	32	8	0	0	7	0	5	0	1	10	1	1	2	0	1	0	0	1	1	1	7	7	0	1	0	2	5
OTU_48461	0	0	0	0	1	0	0	0	25	6	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	0	0	0
OTU_48462	2	0	0	0	0	0	2	1	3	14	1	1	2	4	1	1	0	0	14	0	3	5	2	0	1	1	6	3	1	0	2	0	1	2	2	1
OTU_48466	65	48	0	2	0	0	6	0	8	28	0	0	0	27	8	16	1	13	6	3	0	2	9	5	0	24	1	14	0	22	6	0	40	6	0	0
OTU_48488	16	31	1	7	4	2	0	2	0	3	2	0	1	0	0	7	4	32	1	17	0	0	0	3	5	0	0	5	0	1	0	3	19	0	5	1
OTU_48491	0	0	1	2	3	0	0	1	15	3	29	6	15	11	2	8	0	0	19	0	7	2	1	1	9	4	20	1	1	15	13	12	1	6	5	8
OTU_48501	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	6	0	9	2	1	0	7	3	26	19	5	0	7	10	1	4	1	1
OTU_48505	1	0	0	0	2	0	4	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	1	4	0	0
OTU_48506	2	2	0	0	0	0	5	4	2	10	3	11	0	0	3	1	0	0	5	0	6	3	2	7	3	7	4	5	6	2	3	0	3	5	2	0
OTU_48510	1	0	0	29	4	1	2	8	1	9	6	20	0	17	3	15	0	0	7	0	3	4	0	0	167	38	31	66	9	26	38	24	35	38	16	8
OTU_48536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU_48640	3	2	6	6	5	9	2	0	1	2	0	7	0	8	0	3	3	6	0	9	0	4	1	3	15	3	0	3	7	4	4	1	13	3	1	7
OTU_48648	2	1	0	0	3	1	0	0	2	1	0	4	0	0	0	0	0	0	1	0	0	4	0	0	7	7	2	5	1	1	6	1	6	1	0	0
OTU_48652	5	4	2	2	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	41	0	1	1	0	13	0	0	0	0	33	1	0	9	0	0	0
OTU_48665	4	22	7	34	0	0	8	3	1	0	18	2	6	10	0	1	4	20	0	16	6	10	5	8	7	3	0	0	7	5	1	0	10	5	93	7
OTU_48674	0	0	0	1	0	0	0	0	0	8	2	3	0	2	0	1	0	0	0	0	0	4	0	1	17	7	4	23	1	9	1	5	4	1	1	4
OTU_48680	31	42	4	12	0	0	1	2	3	0	0	0	0	1	0	0	17	0	0	0	0	0	1	3	60	1	0	4	9	30	63	0	28	0	0	0
OTU_48700	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	0	47	8	27	6	0	6	60	13	1	0	0
OTU_48725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_48726	1	0	0	0	2	0	1	0	8	35	6	6	2	1	0	0	1	0	7	0	4	1	1	1	23	1	4	3	0	14	10	1	0	4	1	3
OTU_48735	4	2	4	6	9	0	5	1	4	1	1	1	2	1	4	3	2	0	5	0	1	6	7	1	11	2	2	2	9	2	4	1	6	1	4	4
OTU_48742	3	0	0	1	2	0	0	0	3	26	4	8	4	4	1	0	0	0	6	0	8	31	0	2	5	3	8	23	0	29	7	13	6	0	0	12
OTU_48753	10	0	3	0	2	0	9	0	0	0	2	0	0	1	1	0	1	0	1	1	0	0	6	1	1	0	1	0	1	0	0	1	0	0	1	0
OTU_48758	42	142	23	208	27	150	48	45	8	14	2	11	2	53	0	0	77	229	10	134	5	32	17	68	17	9	0	12	27	22	2	5	6	1	72	3
OTU_48767	4	1	1	0	0	0	22	1	18	14	27	8	10	9	19	10	0	0	36	0	26	27	8	11	8	8	28	1	11	5	20	1	3	6	11	5
OTU_48777	3	3	5	5	4	0	6	0	0	2	3	3	0	1	4	3	1	11	1	12	0	4	4	1	15	6	3	4	4	3	2	10	8	5	9	1
OTU_48782	2	2	1	4	4	0	6	0	3	1	0	2	0	1	0	1	2	5	3	2	0	2	2	1	4	0	0	3	3	1	0	0	0	2	3	0
OTU_48787	11	4	17	9	0	0	0	0	5	1	0	0	0	2	0	0	17	0	30	0	0	0	3	1	6	0	0	7	0	1	17	0	3	0	0	0
OTU_48794	5	5	5	2	2	0	3	0	0	0	3	0	0	0	2	0	6	3	0	2	0	0	1	0	8	4	0	1	5	0	0	3	5	0	5	0
OTU_48796	0	1	5	3	8	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	1	0	0	0	0	1	1
OTU_48798	0	0	0	4	1	4	0	1	1	0	0	2	1	3	0	5	1	0	0	0	0	0	1	0	0	2	7	1	4	0	0	0	0	0	0	1
OTU_48801	0	1	2	62	39	3	3	5	2	6	21	13	15	16	4	6	3	0	29	0	10	8	2	6	47	5	18	10	2	13	11	9	3	7	9	14
OTU_48827	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0	2	0	0	0	1	5	0	0	0	1	0	1	4	1	0	4	0
OTU_48828	0	0	0	0	0	0	0	1	0	0	0	14	0	0	13	22	7	1	17	5	5	14	0	1	0	0	47	0	0	3	0	0	0	5	1	0
OTU_48833	9	6	5	1	6	0	8	1	4	0	2	3	1	0	0	0	13	0	2	0	1	3	2	1	0	6	20	2	1	7	7	2	2	0	1	0
OTU_48838	1	3	1	4	4	0	5	3	3	22	1	4	2	3	4	1	1	2	2	1	4	7	1	2	35	8	12	12	6	13	7	5	3	1	8	6
OTU_48842	1	0	1	1	3	1	4	0	0	3	0	0	0	0	1	2	3	6	3	4	0	0	2	4	6	0	0	5	2	1	4	0	1	4	0	0
OTU_48845	0	0	0	2	1	0	0	1	0	4	1	2	0	1	0	2	0	0	0	0	1	1	0	0	4	7	3	6	2	8	3	3	6	0	0	1
OTU_48849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48850	3	7	4	15	0	0	1	0	0	1	0	3	0	1	0	0	8	0	2	18	1	1	1	2	45	0	1	3	2	6	6	0	15	0	0	5
OTU_48856	3	1	3	3	7	0	4	0	3	0	2	0	0	0	1	0	3	5	3	1	1	3	1	0	9	6	1	2	3	3	2	7	20	2	3	0
OTU_48860	0	0	0	12	5	2	0	3	2	8	3	1	6	28	0	8	0	2	5	0	1	1	0	4	0	0	2	17	0	4	2	0	1	0	10	2
OTU_48865	6	15	0	4	5	13	5	0	1	2	2	1	0	6	1	4	2	8	1	3	1	7	3	2	10	6	4	1	2	1	0	0	7	2	5	2
OTU_48868	2	1	7	5	12	2	16	1	3	2	8	1	1	1	4	0	3	11	9	1	0	2	3	0	3	6	1	0	4	3	3	5	5	3	7	1
OTU_48875	4	2	14	20	0	0	1	0	2	0	0	0	0	3	0	1	3	1	0	37	0	0	2	1	18	0	0	7	5	59	14	0	19	1	0	4
OTU_48892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48895	0	0	0	11	1	0	0	0	9	0	1	0	0	5	0	17	1	0	0	1	0	0	0	3	0	2	3	1	1	1	4	0	1	0	6	2
OTU_48898	21	4	11	8	5	4	7	2	4	2	0	3	0	2	0	1	7	0	3	0	0	2	10	20	0	13	0	5	1	20	10	0	1	0	0	0
OTU_48910	5	1	1	4	2	0	5	4	0	0	1	1	2	3	1	3	0	0	3	0	1	2	2	0	1	2	2	0	4	2	3	1	2	3	2	11
OTU_48913	0	0	2	1	8	0	1	2	3	8	2	4	7	6	1	0	0	0	7	0	6	10	1	1	0	1	11	8	1	7	2	7	0	0	3	11
OTU_48924	4	2	1	0	0	0	18	1	6	14	18	4	1	2	7	4	0	0	17	0	22	30	5	2	2	3	27	7	7	1	7	5	4	4	4	1
OTU_48929	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	1	2	0	0	0	3	0	0	0	1	0	1
OTU_48931	0	2	1	17	8	0	0	2	0	5	1	13	0	1	0	0	0	0	2	0	1	1	0	0	61	15	7	16	2	3	6	8	7	5	3	4
OTU_48938	0	0	0	0	2	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	2	4	0	0	9	3	13	6	7	1	9	2	10	2	0	2
OTU_48950	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	3	3	3	0	0	0	1	0	0	8	0	1	0	2	1	2	1	0	0	3	0
OTU_48952	0	1	2	0	3	1	0	0	1	0	1	1	0	0	0	0	4	1	1	0	0	0	2	0	3	2	1	1	1	0	1	0	2	0	0	0
OTU_48954	5	0	5	4	8	1	3	0	4	5	0	1	0	0	0	0	4	14	4	6	0	0	6	1	5	11	0	2	1	1	3	0	9	1	1	0
OTU_48958	0	0	0	1	0	0	1	1	7	6	2	2	2	2	0	2	0	0	4	0	3	1	0	0	13	4	13	4	0	5	8	4	1	4	4	6
OTU_48964	6	4	1	2	1	3	0	0	0	0	0	0	0	6	0	2	0	0	0	34	0	0	0	0	11	0	0	0	0	40	3	0	15	0	2	0
OTU_48972	0	0	1	0	5	0	1	0	4	53	2	4	2	0	0	0	0	0	1	0	13	282	2	0	5	20	1	36	3	1	1	1	20	0	3	32
OTU_48986	0	0	1	6	1	2	0	1	0	0	0	1	0	0	2	3	0	1	3	0	0	0	6	5	1	12	7	1	0	2	0	0	0	0	0	0
OTU_48987	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	4	0	0	0	32	14	12	46	15	1	16	10	17	1	2	4
OTU_49002	5	5	8	8	5	4	28	0	3	0	1	3	0	2	7	0	3	20	5	6	1	2	2	2	24	6	7	6	18	5	2	7	18	4	4	6
OTU_49004	0	4	1	1	0	0	4	0	1	0	2	2	1	2	2	0	3	4	3	0	2	1	2	1	3	2	3	2	7	1	0	1	8	1	1	4
OTU_49006	0	0	18	11	0	0	6	0	8	13	46	7	2	0	0	0	2	1	1	6	7	13	0	0	13	0	0	1	4	11	0	6	1	22	182	42
OTU_49014	0	0	0	1	1	1	5	1	0	0	8	1	0	0	1	9	0	1	1	1	0	2	0	2	0	0	0	0	2	0	0	0	0	0	12	0
OTU_49015	0	1	1	8	12	0	1	2	9	11	20	1	6	15	3	26	1	1	17	0	10	3	7	0	1	3	12	4	0	11	6	4	5	2	4	3
OTU_49016	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	2	0	1	0	1	0	2	0	0	2	0	0	1	2	0	0	2	5	0	2	1
OTU_49018	0	0	0	14	2	0	2	3	3	4	3	0	0	7	2	3	1	0	3	0	2	5	1	3	6	3	8	8	2	6	2	8	0	0	3	5
OTU_49026	2	0	1	1	2	0	0	0	0	2	0	1	1	0	2	0	1	0	1	0	0	2	2	0	1	2	1	2	1	0	2	1	4	1	0	2
OTU_49028	0	1	0	0	0	0	11	9	6	7	15	11	7	11	5	15	0	0	12	0	14	12	6	4	0	5	6	6	3	2	4	5	2	1	7	3
OTU_49034	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	3	0	0	11	15	29	11	5	0	10	9	19	0	2	3
OTU_49046	0	3	2	52	3	3	1	10	0	23	7	11	0	23	1	7	1	5	1	3	3	8	1	11	18	3	2	22	4	7	10	4	3	6	14	2
OTU_49068	0	3	3	2	1	0	1	0	0	0	0	1	0	0	1	1	2	10	0	6	0	4	0	1	3	0	0	4	3	2	1	0	1	1	0	2
OTU_49070	1	0	4	0	0	0	2	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0
OTU_49071	0	2	2	3	4	0	2	0	2	1	4	0	0	8	1	1	0	1	5	5	1	3	0	0	11	2	3	1	4	5	0	3	0	1	6	1
OTU_49081	6	1	0	0	0	0	4	5	4	16	7	16	0	3	0	4	0	0	4	0	11	17	2	6	8	15	15	18	6	4	22	5	16	11	9	2
OTU_49089	21	9	3	1	1	2	38	46	5	3	1	0	0	4	0	20	6	0	0	0	0	0	3	5	15	8	5	7	36	8	11	7	9	1	0	0
OTU_49210	1	5	0	36	0	1	1	12	0	4	0	5	0	3	0	0	0	2	2	2	0	4	0	7	10	4	0	3	2	3	1	3	1	1	8	0
OTU_49221	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	2	1	0	3	0
OTU_49222	2	5	1	7	12	0	6	7	2	7	1	6	9	7	3	1	0	3	6	0	2	1	2	2	18	23	13	7	8	17	8	4	13	5	3	9
OTU_49226	0	0	0	0	0	0	3	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	56	3	0	17	6	3	6	0	6	1	0	0
OTU_49237	9	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	8	1	14	47	0	0	7	5	0	2	0	1	0	5	10	0	29	0	0	0
OTU_49243	0	0	0	0	1	0	0	1	1	22	0	2	0	0	0	5	0	0	1	0	0	2	0	1	2	2	4	5	0	12	2	1	2	2	0	0
OTU_49247	0	0	0	3	1	0	0	0	0	0	1	4	0	1	0	0	0	0	1	0	0	3	1	0	19	6	5	7	1	6	3	11	5	3	2	1
OTU_49252	0	1	3	9	5	0	1	0	6	3	24	2	6	28	4	8	0	0	22	1	5	2	1	1	34	7	27	10	0	10	32	15	13	4	6	12
OTU_49267	3	2	1	2	5	1	9	5	4	3	18	1	0	3	1	0	1	34	0	3	0	2	0	1	0	0	1	4	11	6	2	5	1	0	55	1
OTU_49271	0	1	2	3	2	0	0	0	5	4	3	0	1	8	0	2	0	0	7	0	1	1	1	0	8	4	3	1	1	11	7	2	0	2	7	2
OTU_49279	9	6	1	8	2	1	0	3	2	1	0	0	0	7	0	1	4	2	0	12	0	2	3	1	8	0	0	3	0	3	7	0	6	0	0	0
OTU_49287	2	16	8	12	10	2	6	0	2	2	4	1	3	4	5	13	0	7	14	8	3	21	11	2	10	1	9	6	6	6	1	3	5	1	13	2
OTU_49298	5	0	1	3	8	0	10	1	1	0	0	2	3	2	5	0	6	0	7	2	2	8	2	1	4	3	2	2	17	0	3	6	1	2	3	7
OTU_49301	1	1	0	0	2	0	5	0	1	0	3	0	0	1	1	0	1	0	3	0	0	6	0	0	5	3	2	3	3	2	0	2	6	0	1	1
OTU_49303	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_49305	4	4	1	40	9	2	2	18	1	22	2	3	0	20	0	1	1	4	5	4	2	9	5	13	4	3	0	9	5	11	1	1	1	2	9	0
OTU_49312	1	0	2	0	3	0	0	0	4	1	9	2	2	1	0	0	0	0	20	0	3	1	0	1	9	3	5	2	3	8	13	12	2	6	0	16
OTU_49317	0	1	0	16	3	0	2	1	0	0	1	12	0	3	0	0	1	0	2	0	4	1	1	0	48	15	8	19	3	9	5	9	4	13	3	3
OTU_49326	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0
OTU_49328	7	11	2	0	1	1	4	0	1	1	1	5	2	0	3	1	0	1	1	7	1	5	0	2	5	3	3	1	1	2	1	4	3	1	6	7
OTU_49334	2	0	0	0	0	0	5	1	1	7	17	10	0	1	2	0	0	0	15	0	11	25	2	0	8	2	4	5	14	0	2	0	6	0	1	1
OTU_49339	0	0	2	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	1	0	4	5	0	0	28	0	1	43	5	0	30	1	60	2	1	8
OTU_49351	5	3	18	2	14	13	1	0	6	6	0	0	1	4	5	2	3	20	3	2	0	7	11	1	38	17	1	13	18	4	2	1	10	2	7	1
OTU_49358	2	0	1	0	2	0	0	0	2	0	0	0	0	0	1	2	2	0	0	0	0	3	0	0	6	3	0	2	0	0	0	0	4	0	0	1
OTU_49359	0	0	1	2	0	0	0	2	0	0	5	2	2	2	2	5	0	0	5	0	6	3	0	1	2	3	10	2	1	9	3	7	0	0	2	5
OTU_49364	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
OTU_49365	1	3	2	1	1	1	1	0	0	0	0	2	3	3	0	1	5	3	1	0	1	0	2	2	4	0	1	2	3	1	1	1	0	0	2	3
OTU_49368	39	136	16	45	8	24	64	21	10	26	32	17	21	42	1	37	36	275	3	62	6	45	14	36	53	15	18	14	50	22	6	68	44	13	141	80
OTU_49409	0	1	0	3	0	0	0	0	0	0	2	1	0	0	2	3	0	3	0	6	1	5	0	0	1	0	0	0	0	4	0	0	0	0	7	0
OTU_49415	4	1	4	0	10	2	8	0	1	2	1	1	4	1	4	0	4	9	2	2	0	14	16	2	6	5	1	0	4	0	0	3	2	5	4	6
OTU_49420	53	42	25	36	0	0	0	0	0	0	0	0	0	2	0	0	4	0	1	3	0	0	1	0	103	0	0	16	0	13	1	0	95	1	0	0
OTU_49431	1	0	0	0	0	0	1	1	1	17	0	9	0	2	1	0	0	0	1	0	2	16	1	2	4	15	2	6	12	1	8	2	11	2	2	4
OTU_49435	0	0	0	1	1	0	0	0	1	6	0	3	0	2	0	0	0	0	0	0	1	5	0	0	7	3	5	7	0	3	3	1	4	1	1	5
OTU_49438	2	1	13	7	7	3	137	5	13	15	51	0	0	0	12	9	1	19	4	0	0	0	37	4	10	31	11	1	64	3	8	26	0	4	9	0
OTU_49444	34	28	8	49	0	0	0	1	10	4	0	0	0	11	1	0	29	1	12	20	1	1	5	12	67	1	0	11	0	104	38	0	40	2	0	0
OTU_49501	27	26	30	19	9	4	3	0	9	4	3	1	7	18	2	1	25	48	11	23	1	16	57	16	43	31	0	9	1	4	8	0	38	7	2	24
OTU_49515	19	30	8	27	1	1	2	1	4	2	0	0	0	3	0	0	10	4	1	218	0	0	11	9	82	0	0	6	1	34	8	0	52	0	1	0
OTU_49543	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49544	2	1	3	4	9	1	1	0	0	2	11	1	2	3	6	1	0	0	17	0	5	4	1	0	11	6	1	8	4	5	0	19	9	3	5	9
OTU_49551	0	0	1	0	3	0	0	0	1	4	0	3	0	1	0	2	0	0	2	0	8	7	2	0	5	5	5	0	0	11	7	7	4	1	2	20
OTU_49555	0	0	3	1	16	45	10	2	0	0	0	0	0	3	0	2	0	66	0	10	0	1	6	1	1	2	1	0	10	5	0	12	19	0	1	0
OTU_49572	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	2
OTU_49573	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	1	0	14	0	0	5	3	0	9	0	18	0	0	4
OTU_49578	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
OTU_49579	0	2	0	34	5	2	5	10	8	3	0	2	0	32	0	0	4	7	11	2	1	4	2	6	5	6	0	1	8	10	5	3	0	1	12	4
OTU_49582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49583	3	0	2	3	7	5	11	0	0	0	0	2	1	3	0	0	4	0	3	40	2	17	4	2	18	0	0	5	0	2	0	0	0	0	11	2
OTU_49591	24	40	3	10	0	0	0	0	9	6	0	0	0	14	1	0	8	0	12	205	0	0	2	4	20	0	0	13	0	71	10	0	38	3	0	0
OTU_49625	8	1	7	7	8	5	6	0	1	0	0	1	1	1	0	0	3	16	0	3	1	6	11	4	6	1	0	1	1	1	0	0	7	0	0	1
OTU_49627	0	0	0	0	0	0	0	0	1	8	4	0	0	0	0	0	0	0	0	0	0	24	2	0	0	1	0	1	0	0	0	0	3	0	0	1
OTU_49628	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	5	0	0	0	0	0	2	9	33	8	7	0	4	17	7	2	1	5
OTU_49634	2	0	14	8	27	0	0	0	0	0	3	2	19	2	1	2	1	1	67	0	0	1	15	1	10	5	25	9	5	2	1	4	0	0	2	17
OTU_49638	0	0	0	4	5	0	0	1	0	3	7	4	3	6	1	6	0	0	9	0	0	3	0	0	19	8	28	7	1	18	24	1	3	4	3	8
OTU_49647	9	7	0	0	0	0	2	3	5	1	0	1	0	3	0	0	0	0	4	2	3	19	4	4	3	0	0	4	2	0	6	0	13	0	1	4
